puzzle,solution
000308900100000008006000027000030150004057000900001000009000500603800700000006002,427368915135792468896514327768239154314657289952481673289173546643825791571946832
000600004010003600000000050050040020000289005060000007020900001005062000074100000,582697314417523698396418752851746923743289165269351847628974531135862479974135286
009061000400008013000000200001000070000023060000180000307006490090050000500000007,289361754456278913713549286841695372975423861632187549327816495194752638568934127
800100700000090001700030900602000800080206003003001002034000050000960000500000000,869124735345697281721538946652349817187256493493871562934712658218965374576483129
408005007070008390000010006027100000100003700000500000000409000780000009065000400,498635217671248395532917846827194563159863724346572981213459678784326159965781432
390000080807000050000008006100003002208700095700000100000004520900502008000900000,396415287827396451451278936149653872238741695765829143673184529914532768582967314
060009007081007002000040000000076008000000200026003040500310000004000080090000003,465829317981637452237145869149276538853491276726583941572318694314962785698754123
000020010060080000030001907001000005900800200000907300400005003002000006650000000,789523614164789532235461987841236795973854261526917348417695823392178456658342179
008460000600000200000500007060090004030008000801000090094000086000010300000007009,728463951645179238913582467562391874439758612871624593194235786287916345356847129
060070040100080002000400010000009000005840300690300007080000060009000200000050074,962571843147683952853492716314729685725846391698315427481237569579164238236958174
050000200607002000004056000005000010000905480300040000870060000000100600060070902,958317264637492851124856397245683719716925483389741526873269145592134678461578932
059003060800006000030810000960050073007080040020000000000000410600030000001400026,159743862874926531236815794968254173317689245425371689793562418642138957581497326
300016049000507000004000600600000000950000000010002030020800010030000008700900000,385216749196547283274389651643175892952438176817692435429863517531724968768951324
970600040100000000400019500260004900040000000007128000000830060000006004000400002,975683241123547698486219573268374915341965827597128436754832169812796354639451782
000051000002080090800060010600100020070009000200000640100000000006000300430870001,967451832512783496843962715685147923374629158291538647128396574756214389439875261
007610000050000000300070001002006540006005000008000020000829000000000204900000300,287614953154938672369572481732186549416295837598743126643829715875361294921457368
070005820000003060096070000000002580307060200800000070008000040460300000002100000,173645829584293167296871435649712583357468291821539674718956342465327918932184756
000009400000040058408000900600090010570006000020001003007900100060700020200000800,732859461196247358458163972683492715571386249924571683847925136369718524215634897
000070005095002004870006300640000853007000600000000002006098000000000000100005000,264379185395182764871456329642917853987523641513864972436298517759641238128735496
000000145000025000078000006007000000000600200640910000960000708004090500080000000,329768145416325987578149326157283694893654271642917853965432718734891562281576439
430907006010060020000001000000080007000709480000000560904000030070004000802000000,438927156517368924296541378349685217625719483781432569954276831173854692862193745
080000064700005300000090000930000840000061500002300000097050080000103000600000000,581732964769415328324896715936527841478961532152348679297654183845173296613289457
209070034003040800000002050006001000920000000005060040000700000014029005800003060,289175634753946821641832957436291578928457316175368249562784193314629785897513462
060000902820000100000400050003050000070032000000000360007049500100000800090007000,561783942824596173739421658413658729976132485258974361387249516142365897695817234
400100030061900000002800700000408000007020001080009600300200040000050003090000000,458167239761932485932845716619478352547623891283519674375296148824751963196384527
004000008090003000300002650040050176059007800000800000070000000030000200020071090,514796328296583714387142659843259176159637842762814935975328461431965287628471593
000003002037000010020740000005000600200000005060090070500060003900120000000008040,459813762837652419126749358795281634241376895368495271584967123973124586612538947
009105000700800050000030080400050600091360740007000000006903010130000064000000000,289145376713896452654237189428759631591362748367481295846923517132578964975614823
046900050000130000070004000052010903000000025300000008800690001000403000000200030,146928357285137694973564812452816973768349125319752468837695241621473589594281736
000004820005007030040020600060900000100360900000000400090016080700000000000809000,637194825925687134841523679562948713174362958389751462493216587718435296256879341
080000070000906008096000030052800000000030005830007090060200080005000004000043200,581324976347916528296578431152869743679432815834157692463295187925781364718643259
064000007300028000000050000100060700003800400009001003000906010090580000400002008,564139287317628945982457136158364729723895461649271853875946312291583674436712598
050006970100070050000000001000000040070060039305709100040000000503801000860030000,254316978139278654687954321916583742478162539325749186742695813593821467861437295
300000580007000000010600004900001000000700205000020360020004008001200000040058700,369417582457982136218635974932561847186743295574829361725394618891276453643158729
006000000301900005000056081000007028900003400000420700690008000000000000207104000,526781934381942675749356281435697128972813456168425793694578312813269547257134869
040018000000006005030000900003000100000002798000004500500200000006000870307000001,945318267712946385638725914253897146461532798879164523584271639196453872327689451
040000000030504007007000200280391000000000000109000000890010730000400090006003080,548172963932564817617839245285391674463758129179246358894615732321487596756923481
006012000009000106007500080003070400400000230070000000000094700100000500000050001,586912374249783156317546982863275419451869237972431865635194728198627543724358691
900000007007300082504000000002000030700904060003200001000050000005070800300600000,938421657617395482524786913462518739751934268893267541176859324245173896389642175
000684090100700000003002007000900640070000000900500000005001800600000030230006001,752684193169735482843192567328917645576428319914563278495371826681259734237846951
003040601010037009000800020700006000005470000020090000300000580002003060009060000,583942671214637859697851423748216395935478216126395748361729584452183967879564132
047000010000006037300000000008200060002000009000345000000000050070050006650801020,247539618985126437361784295518297364432618579796345182829463751173952846654871923
300008009000900031000010800000000500000300096250006700900600000080054000040000000,314568279865972431792413865136897542478325196259146783927681354683254917541739628
070308000021070800000000004007000080002009060100700003000020501050090000600000400,574368219321974856986215374497653182832149765165782943743826591258491637619537428
010004000060010932300000000050300006600005000090700000070100000520000401001020065,219634758764518932385972614157349286643285197892761543478156329526893471931427865
002040009410006700070010005007064500000030420000000000800000900604000100000008050,562347819418956732973812645387264591156739428249185376825471963694523187731698254
802100600000203087000008900000004060008000003650000400310050000000030050900020008,872195634169243587534678921723914865498562173651387492317859246286431759945726318
000048509084200100002300800068004002090082060000000000005003270700020000000507000,376148529984256137152379846568934712491782365237615984615493278749821653823567491
000081000730020000900640500020000900090800000806003000200070000000500402000010730,645381297738925641912647583327164958491852376856793124263479815179538462584216739
050004000807100006040025001000037080000000270015000000000072000000000300430006020,153684792827193456946725831264937185398561274715248963581372649672459318439816527
000001075002080000000000200490000000800560100001002050600300010079000003300000800,986231475542786931137954286495813627823567149761492358658329714279148563314675892
000006010700000009100900003006000002004170000205600400090001200000804000500090600,359726814768413529142985763976548132834172956215639478497361285621854397583297641
000007000000910300072000060064000080000009500000200000080000000600400001420001905,196327458845916327372854169964135782238769514517248693781593246659472831423681975
000020000050000070809706200620090001000000043010040000000003980100200000007004000,736521498251489376849736215624397851975812643318645729462153987193278564587964132
006541000900300000040020800001000007060034100005000000002000060070400000010007003,826541379957386241143729856231695487768234195495178632582913764379462518614857923
000000001005700040470031000004020008590010002608000000000000904000908005002050830,236485791185796243479231586714629358593817462628543179857362914341978625962154837
000280040000930806000060300200000004000800107053000900705400000068005091000000000,631287549524931876879564312287193654946852137153746928795418263468325791312679485
500000000069004500081000003003100002706000030000500090005080600000090070800040009,547932861369814527281756943453169782796428135128573496935287614614395278872641359
005400001000009060047000000000800000003000890090003602700020000014700005000050000,965472381231589467847316259426897513173265894598143672759624138614738925382951746
030000006406023900090400008001000280005042000300006000000070090700908603000000000,138759426456823971297461538641397285985142367372586149513674892724918653869235714
400750000096004800000000003005080000040000900003000020000010300674000000010607050,438751692596324871127968543765289134241573986983146725859412367674835219312697458
400270600050000030000000040005002360080060000006400071017040090004008000000900200,431279685652814937879356142145792368783561429926483571217645893394128756568937214
380020000000900002009000080010000608500000400740053900000060000635002010000004003,387126549456938172129475386913247658562819437748653921874361295635792814291584763
200000001030870000000003800020000005040190700007050190504010003090000006000080000,258469371436871259719523864921738645645192738387654192574216983892347516163985427
000000584100000030006020000000400006092053000000001000305900001080070090000000050,723619584159847632846325719517498326692753148438261975375984261281576493964132857
004009006500080020000000010000100000020900000900006078030001000040002000800070249,384219756561784923792365814476158392128937465953426178239541687647892531815673249
500000000000708039000960001007000090002007800000340000008210000460000000000800760,539421687126758439874963521647185392312697854985342176758216943463579218291834765
100000940980007100006000008270010000400090500000005080802000090000360020060000700,127583946983647152546921378275816439438792561691435287852174693714369825369258714
000750000400809006050010080003005009109400800500007000000000200060500100208000070,891756342427839516356214987643185729179462853582397461915678234764523198238941675
300950400200000009080000537700302004900000000021800070090400800000000000000700002,376958421245137689189246537758362194934571268621894375597423816412689753863715942
000026900000030000400508600000050001080000006509800200001000009200080000030007140,358726914926431578417598623743652891182379456569814237671245389294183765835967142
091000000000050008005126900060003801734000600000000000000360040000000102010007000,291738456673954218485126937569473821734812695128695374852361749347589162916247583
000900070700082600000000100100047003050000900800006000040005097000030000608400020,481963572735182649962754138196547283357821964824396751243615897579238416618479325
002000080100005006006390000700008000010200004024506000000000090003020501080060003,432617985179485236856392147795148362618239754324576819241753698963824571587961423
406000009003640000050100400000000072004070030021090000000002700002063104005000000,416527389293648517857139426539481672684275931721396845148952763972863154365714298
100905030000020000020310607000070200080040175031000000000000080040030001800000020,176985432354726918928314657465178293289643175731592846697251384542839761813467529
300008400601074000002100000000000590080000001000002034400050009105600000008040020,357298416691574382842163957234716598789435261516982734423851679175629843968347125
300500000010003000040020700500060304000700600003900208000001080036080000170000000,389547162217693845645128739591862374824735691763914258952371486436289517178456923
090000820000600500603000070005000000080003002009870360000006000006512080000090030,594137826178629543623458179365241798781963452249875361957386214436512987812794635
050006000009210000000009201000000960000500008700300000008000007200804000405020000,152736849849215673637489251583147962914562738726398514398651427261874395475923186
004000008080600010005004030030100007000006050400802000803090041090000000000013090,964731528387625914215984736632159487178346259459872163823597641591468372746213895
008090006600002810040030000000000600504700020200500004000008003800000062007010000,728195436635472819941836257173924685584763921296581374412658793859347162367219548
000400000500003790000501040006008070004000002800340900060000010307000500480060030,173489625548623791692571348956218473734956182821347956265734819317892564489165237
010060000000050320000004007040000098608009000001000070100506000902140005003800000,315267849476958321829314567547631298638729154291485673184576932962143785753892416
000600050000020000805700000200009001300050008050200073000400210076000030020506000,732691854914825367865734192287369541349157628651248973598473216176982435423516789
063714000020000600500000000000605007082000000000200041050009300007000060000400008,963714285124598673578326194341685927782941536695237841456879312837152469219463758
000081007010009000200506000400090600023010070001002503000000004895000020000008700,539481267614729835287536149458397612923615478761842593176253984895174326342968751
350200060008604000000030000700002045000090300002485000000009700060800004900000030,351278469298654173476931258789312645514796382632485917843569721167823594925147836
000600408509000000860003050000700030000000902305021000073500000900000001006002040,732659418549178263861243759428796135617435982395821674273514896984367521156982347
007009300403000500100002007280000001000987005000000000030050080000034006006000000,627519348493678512158342697289465731361987425574123869932756184815234976746891253
800004010900150020000270000000400936001000000050080000070006080040000003100000045,825694317937158624614273598782415936491367852356982471273546189549821763168739245
000004609008000000090010730100490200003000000024080070000500001570106000000040000,235874619718369452496215738157493286683752194924681375842537961579126843361948527
008000907692030000000000000083004050000050000059003006000200010070000049000010800,418526937692731584537948162283694751764152398159873426945287613871365249326419875
004000001060009000000006007046000300000000002073080060000820090010050000008700020,924378651867519243351246987246195378589637412173482569635821794712954836498763125
309000080000800000260000071000020056054700000002030000090003600000600017100005800,349167582571842963268359471783924156654781239912536748897413625425698317136275894
000000040001900006945008007400010000000400503009307000200080600010030008000006200,678153942321974856945628317432815769167492583859367124294781635516239478783546291
900020000008003601005090302000000100040009200000008956300005000510076000000000060,931627485278453691465891372859362147647519238123748956396285714514976823782134569
002100070000000000000040038210003000043006500058000000009000306000750019005000000,392168475874325961561947238217593684943816527658274193729481356436752819185639742
050000002003050000001400650000010300010000900800637000900006400060070000000900180,459368712623751894781492653547219368316584927892637541938126475164875239275943186
007000030200007050100300400000040000406002900089000010800200005000010000004879000,647591832238467159195328467712943586456182973389756214871234695923615748564879321
500030007700004006010600000400020070005809000008040030090000502000000000001080063,546931287783254196912678354469123875375869421128745639897316542634592718251487963
009000150070000002035402000002800000003020090040600507600500000000000040090080000,429378156876951432135462789712895364563724891948613527681549273257136948394287615
000104300000080001049000500000830090006040000007000035008960000070002600005000000,582174369763589241149623578254831796396745812817296435428967153971352684635418927
200780005300000600005020000020030000017402006000000000064001050000900040053000001,291786435378594612645123879529637184817452396436819527964371258182965743753248961
050600321700008000010000000000040602200000007009000040002300006007025080500100000,458697321723418965916532478835749612241863597679251843192384756367925184584176239
903706000070000000600000902000080000030400051000230090000002069004000800010300040,923716584578924136641853972459681327832479651167235498385142769294567813716398245
020000009009014006008000003045087000000006400800030090700008004000000030100320700,521673849379814256468295173645987321293156487817432695732568914986741532154329768
240900001003002080000084002500030206700040000000201000060300700057000060400000500,248973651913562487675184392594837216721649835836251974162395748357428169489716523
080000600100400030004000020006002000320004006749130000007000060000300000000080903,283971654165428739974563821516892347328754196749136582837219465691345278452687913
093100000006000004410700080150020040700000090000008003040001050000905000600000000,893146527576289134412753689159327846738614295264598713947861352321975468685432971
030050000060070008040980700090060000005109400600800000400000500000005003002600010,738251694569473128241986735194567382825139476673842951417328569986715243352694817
040008000006000700030709006009080607002601005080900010000000503000804020000520000,947268351216345798538719246159482637472631985683957412824196573365874129791523864
000040000020815900050000006003080000000009002000700510801400030400900800072000000,739246158624815973158397246213584769547169382986723514891472635465931827372658491
005007000000090031000600027008030002590001000030009400400000000600005108000080000,825317649746592831319648527168734952594261783237859416481973265673425198952186374
006005009002809003000000080010000030000600070900020005200000041000072000090001500,486735219172869453359214687617548932825693174943127865238956741561472398794381526
304700009000040000000090100070000003400300050050604701060000200130007000700050090,384721569691543872527896134278915643416372958953684721865439217139267485742158396
000900007009002400050870010206005900000000080000700001001050700420000105600400090,162943857789512436354876219246185973517239684893764521931658742428397165675421398
000170500300280000010000208600045007090060000000000080900400010700000004002007960,286174539357289641419356278623845197198763425574921386965438712731692854842517963
001006000003805009005000046390600050014000000602003000070000000000052080000070201,721496538463815729985237146397641852814529673652783914278164395136952487549378261
000100000000005802005300040500000000000709000621000300090600080004050009300000200,432187956716495832985362741579236418843719625621548397197624583264853179358971264
010000920000000005200003064000005000030100009000870000100060040007000006069004580,516487923943612875278593164794235618832146759651879432125968347487351296369724581
000610800000008000000054007060900070800000200207000060020103000709060030500040002,942617853375298146618354927164925378853476219297831564426183795789562431531749682
007010000010000600000040078064090000090500007000002000009000010031067400000900705,647815392918723654253649178764198523192536847385472961879354216531267489426981735
000000470008000500000001089000030000090050018800940350320000000700000002069700000,931582476278694531546371289657138924493257618812946357324819765785463192169725843
021000004007040080040000201090050000300000800000200060006030005005008100070010000,821379654567142983943865271698457312352691847714283569186934725435728196279516438
000000481000009005008000300000000600032570000710300000603004700009000000050100000,597632481361489275428715396845921637932576148716348952683254719179863524254197863
100000000000890500709406000000070048010008700005000090000500004000034800001000302,168357429423891576759426183936175248214968735875243691387512964592634817641789352
000048009000703000704950000200000600150600000070000008430019006000800040907000020,563148279891723564724956831249381657158674392376592418435219786612837945987465123
000900007000003040006054000017000000200046000048700500002000008709000020060002701,453961287921873645876254139317528964295146873648739512132697458789415326564382791
700000500080000000002000030010500640090007001000104000200700000078205100000081006,743912568589673214162458937817539642496827351325164879231796485678245193954381726
000004000000003009003190800090200060010060000000007502080570001000000600204009000,921784356748653129653192874597231468412865937836947512389576241175428693264319785
006090007200008009008005000029430000070000000000000056005000020000207060000001800,156394287247618539398725614529436178671859342834172956485963721913287465762541893
000000020000406005100092000004608010079000000005000400096200300700000000001300760,548731926932486175167592843324678519879145632615923487496217358753864291281359764
800050000009000032000010600020000090004009500085040003010037000400000780000600005,867352149159476832342918657721563498634289571985741263516837924493125786278694315
009000000300000426600070900000005000007800100400000068062000700090400005705030000,219648357378951426654273981986315274527864139431792568162589743893427615745136892
200700000000000507010008000000009000921000600500010080000901460302580001000060005,296745318483126597715398246678459123921873654534612789857931462362584971149267835
680000075000000001300000600500001300046007000000020900000000000020738540000504000,681943275297685431354172698572891364946357812813426957465219783129738546738564129
000050201700600030010000000000320008920700000004000060000000010000576000039010004,463957281792681435518243697176324958925768143384195762257439816841576329639812574
100300000080600000900080400010040280020006070000000064000900000091230050007000008,146379825582614739973582416619745283324896571758123964835967142491238657267451398
006030091009001000005002304160000020000000007800070500001003000400006100070008000,246537891389461752715892364167385429953214687824679513691753248438926175572148936
060080070009300000002040001090000520005000410006008000500920030010000000000071000,461582379859317642732649851397164528285793416146258793578926134914835267623471985
040002075000000000051360000000270003000903002007050900810000026009008050006000009,943182675682597341751364298194276583568943712327851964815739426439628157276415839
306800000000005013000040000040002095002000104000000000503000072020400000000100009,356891247894275613271346958148632795762589134935714826513968472629457381487123569
000090200800200700400007001006001400070009000100870000000006002030080000200030590,617498253859213764423567981586321479372649815194875326748956132935182647261734598
900003010007000320650004900000001008030540000700980060000005100570090000000000002,924873615187659324653214987295361748836547291741982563368425179572198436419736852
020004060039000070500000100090002000008501000200040680360400920002007000000900005,827194563139685472546273198691832754478561239253749681365418927912357846784926315
940320000000009000000760020001000040030000761000000000250090010007400030006507000,948325176672149358513768924721836549839254761465971283254693817197482635386517492
000200003020034080050070000030000800008052306700000020000060970190000000000008604,849215763627934185351876249932641857418752396765389421584163972196427538273598614
390005000070004000005060097000000201780020000600500000060003450500000089008000300,391875624276194538845362197459738261783621945612549873167983452534216789928457316
060005300480000700007009060006080000075300008002900000000001070018020600004000020,261475389489263715537819462396182547175346298842957136623591874918724653754638921
000080009000700020800100300400002000002470010300005900000000001067040590005007000,754283169631759824829164357416932785592478613378615942983526471267341598145897236
000000059090000800020004000000500720870003690000008000400000000000210075001000060,734861259196352847528794316613549728875123694942678531467935182389216475251487963
000000050600000020300059001006300900030780015700900003100000040000014002002500007,871432659695178324324659781546321978239786415718945263153297846967814532482563197
006039000020075100050000008600704009001000700040000000000090200500003084400007000,786139425924875163153642978635724819291358746847961532318496257579213684462587391
950300000020005679000000080010000050005902100300000004007001900500089000100600000,958376412423815679761294385219743856845962137376158294687521943532489761194637528
000000000000090820480710009000000200070504000304000010700035000800000900500070006,293658741617493825485712369956381274178524693324967518769135482831246957542879136
090050000000000006800420500000540003023018000400000809000000720000107000030000005,397856142542971386816423597168549273923718654475632819684395721259167438731284965
000060000200000300000103800400080000012000005650009000700038010009670002000001090,938462157261857349574193826493785261812346975657219483725938614189674532346521798
070020040000006003084000500506000038800000007090100600000563000000007090700040000,673925841159486723284371569516792438832654917497138652928563174345817296761249385
000400200201000900050070031000000060002308000800149020030000000700020003004900700,387491256241635978956872431193257864472368519865149327539786142718524693624913785
080017000000200000900000006000002004002009503071060809530000400090030008000400000,683917245145286937927354186359872614862149573471563829536728491294631758718495362
000700060000009005900020100070004000008010502200600300042000600000060050090400203,125743968634189725987526134379254816468317592251698347842935671713862459596471283
001030907000500000300800506007040005000000040150700008600003009009420001000000000,541236987876519324392874516267348195983651742154792638625183479739425861418967253
006700100200000000000058900000070500400300000070000680700040200050009001090000004,946732158285961437137458926823176549469385712571294683718643295654829371392517864
000002008583400002070300040901000800000140570030000010060700400200000000004080000,149672358583419762672358941951267834826143579437895216368721495215934687794586123
159000000070400000008007900000061020000020806900000000000008010005070008080009403,159832674673495182428617935834561729517923846962784351296348517345176298781259463
500100003900000020006090000302900800060480500400000000000204030000010006200009010,527146983914835627836792154352967841169483572478521369691254738745318296283679415
100000080000034000040506002300020070090400010018000009506000008000002500030040000,153297684682134957947586132364921875295478316718653429526319748471862593839745261
000800063500030000080000250307024005029000000000003100902300080000201000050060000,214857963596432718783619254367124895129586437845793126972345681638271549451968372
837000040000009700000000061080107005200000000001405908009003000504700000020000007,837612549146539782952874361483197625295368174671425938719243856564781293328956417
000170009009600000700000002401200000900030050000000003290700400003010900500020600,382174569159682347746593182431257896967831254825946713298765431673418925514329678
007060200240000060068024030020053000700000100009000000030000008070542000000000450,317865294245937861968124537421753689783296145659481372534619728876542913192378456
000009005000600800000053040820000004005002000064800500096000070000900020400710003,341289765259674831678153249823597614915462387764831592196325478537948126482716953
002000100000000509690800000000108300800002010007400000000725000280000060040000003,352947186478216539691853472926178345834562917517439628163725894285394761749681253
200070003700065000040800000000090014005700680000000500090006200004050000128000000,251974863789365421346821795867592314915743682432618579593186247674259138128437956
700000509000000002090600170003005000009800000500740000040020950006009030000006027,784231569651987342392654178263195784479863215518742693147328956826579431935416827
000008000906300008048000070000000080400000106003410005100806037000072000090100000,731658249926347518548921673219765384475283196863419725152896437384572961697134852
000849000020005940000000000702503004006200300000000071005007009600080030008000006,567849123321765948984321657792513864146278395853496271215637489679184532438952716
000506000200740000600001080050000000000903406901007008000300009807000020020000800,194586372238749561675231984453862197782913456961457238516328749847195623329674815
000004807034007100000200000900013020000002010060540000290006080040000650300000000,529134867834657192671298543957813426483762915162549738295476381748321659316985274
050000002700060010000087000020003040040098300301000095010000000000040009000509600,856314972732965418194287563928653147547198326361472895219836754685741239473529681
062000407008067000900400100000005001000306205000000090803004000009030020420500300,162953487348167952957482163694275831781396245235841796873624519519738624426519378
206000000000058010050000900010300607007000001030010050064905000300004006001000000,276491538943658712158237964519382647687549321432716859864925173395174286721863495
000009001900000872108030400580300010060002000000005026000000000000500008837000000,276849351943651872158237469582396714769412583314785926425968137691573248837124695
200000060007802050010090000004010020870506000000004600100007900300000072008400000,283145769497862153516793284634918527872536491951274638125387946349651872768429315
003007200050090060007001000002008000000000090049000510006019740070403900000800006,493687251158392467627541839312958674765124398849736512586219743271463985934875126
007090010400600800090008006000000008713060009000004030100200000006080005304000200,867392514431657892592418376249731658713865429658924137175246983926183745384579261
000200006020300007900004002000500040000080520600000001000007000000060900100450060,374298156826315497915674832782531649491786523653942781569827314248163975137459268
100003700230090000400807000000000056000050000020004080008200109000010400000900070,185463792237591864496827513974182356863759241521634987648275139759316428312948675
007000000010780920000050000009270050006015000000000003000006800340000010000800005,487629531615783924923451768839274156276315489154968273592136847348597612761842395
000017050000450071000000800907000060060080200000300400091006700003040006050000040,642817953389452671715693824937124568164785239528369417491236785273548196856971342
700002005000001900200050170060023050027000030008000600050070001000604008001000000,714962385685731924293458176169823457527146839438597612856379241372614598941285763
004000009600700100200004760003000200700051000000603890020080000000500000100000005,874136529639725148251894763463978251798251634512643897925487316386519472147362985
000520003000080000920003170700000000000106090000000802408030006200007300039010000,817529463643781529925463178754892631382156794196374852478235916261947385539618247
000006570400070000060098000500060030000000090008005040002800004094007060030000009,983416572451372986267598413529764831746183295318925647672839154194257368835641729
090007000100000000703951000001070050007005008400100020000003002009200070200080640,592647381146328597783951264931872456627495138458136729874563912369214875215789643
000050097020103000008200000000002060670400000000000080010300009940000000002005430,136854297527193846498276315389512764671438952254769183815347629943621578762985431
005000400002000830040160020650007000000901700000000003300609080070000000900040000,895723461162594837743168529659437218238951746417286953324679185576812394981345672
040200500102007000000006010003050006007403000050000800070001428000000000020600009,749218563162537984835946217913852746287463195654179832576391428398724651421685379
000620000008300500030009002107030008090000031003000400000950100080200000700000800,915627384278314569436589712157432698894765231623891457342958176581276943769143825
000000002003000019700280040005430006001005000320018070060000000100000050030142000,849351762253764819716289543985437126671925438324618975467593281192876354538142697
021000053000000000000000106009865000038000000000740000090007005000600020640021007,821976453364158279975432186419865732738219564256743918192387645587694321643521897
800000040004001700072000089540200070000050060003900800000000000028000090709800500,815792346394681725672534189541268973987153462263947851156479238428315697739826514
780000050009300000500000006000820900002000060070006080060200078000030500100040000,781964352629385147534172896416827935892513764375496281963251478247638519158749623
200000000900010007005800400350000000000000001108040030090200180703006009020090000,237964815984513627615872493359621748472358961168749532596237184743186259821495376
100000305000809000740000800004000000007241006010007003008000041000100508000304000,186472395523819764749653812964538127837241956215967483398725641472196538651384279
400000600078000001021700080700000060004006000000020405090301700000860300000000090,439518627578642931621793584712435869954186273863927415296351748147869352385274196
750000038004050007000200600010400700005030080000009023500090000600300900020060000,752946138164853297839271645318425769295637481476189523543792816687314952921568374
